group_id,timeslot_id,subject_id,teacher_id,room_id
G1,1,31901-2002,T01,R5306
G1,2,31901-2002,T01,R5306
G1,3,31901-2002,T01,R5306
G1,4,31901-2002,T01,R5306
G1,6,31901-2017,T07,R5306
G1,7,31901-2017,T07,R5306
G1,8,31901-2017,T07,R5306
G1,9,31901-2017,T07,R5306
G1,10,31901-2017,T07,R5306
G1,11,31901-2017,T07,R5306
G1,13,31901-2006,T03,R5306
G1,14,31901-2006,T03,R5306
G1,15,31901-2006,T03,R5306
G1,16,31901-2006,T03,R5306
G1,18,31901-2002,T01,R10401
G1,22,30001-1001,T09,R6405
G1,23,30001-1001,T09,R6405
G1,25,31901-2009,T04,R5306
G1,26,31901-2009,T04,R5306
G1,27,31901-2009,T04,R5306
G1,28,31901-2009,T04,R5306
G1,30,30001-1001,T09,R5201
G1,31,30001-1001,T09,R5201
G1,34,30000-2004,T07,R6405
G1,35,30000-2004,T07,R6405
G1,37,31901-2010,T04,R5306
G1,38,31901-2010,T04,R5306
G1,39,31901-2010,T04,R5306
G1,40,31901-2010,T04,R5306
G1,42,31901-2013,T08,R5306
G1,43,31901-2013,T08,R5306
G1,44,31901-2013,T08,R5306
G1,45,31901-2013,T08,R5306
G1,46,30000-1202,T06,R5306
G1,47,30000-1202,T06,R5306
G1,49,30000-1501,T02,R5201
G1,50,31901-2006,T03,R5201
G1,51,31901-2009,T04,R5201
G1,52,31901-2010,T04,R5201
G1,54,31901-2013,T08,R5201
G1,58,30000-1501,T02,R5306
G1,59,30000-1501,T02,R5306
G2,1,31901-2009,T04,R6405
G2,2,31901-2009,T04,R6405
G2,3,31901-2009,T04,R6405
G2,4,31901-2009,T04,R6405
G2,6,31901-2013,T08,R6405
G2,7,31901-2013,T08,R6405
G2,8,31901-2013,T08,R6405
G2,9,31901-2013,T08,R6405
G2,10,30000-1202,T06,R6405
G2,11,30000-1202,T06,R6405
G2,13,31901-2009,T04,R10401
G2,16,30000-1501,T02,R5201
G2,18,31901-2017,T07,R5306
G2,19,31901-2017,T07,R5306
G2,20,31901-2017,T07,R5306
G2,21,31901-2017,T07,R5306
G2,22,31901-2017,T07,R5306
G2,23,31901-2017,T07,R5306
G2,25,30001-1001,T09,R5201
G2,26,30001-1001,T09,R5201
G2,34,30001-1001,T09,R6201
